name,genre,rating,year,duration,seasons,episodes,plot,cast
Death Note,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",9,2006-2007,24,1,37,"After an intelligent yet cynical high school student begins to cleanse the world from evil with the help of a magical notebook that can kill anyone whose name is written on it, international authorities call upon a mysterious detective known as ""L"" to thwart his efforts.","Yuri, Eriko Aizawa, Sayu Yagami, Danshi, Kurofuku B"
Hunter x Hunter,"Action, Adventure, Fantasy, Shounen, Super power",8.9,2011-2014,24,1,145,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","Gon, Killua, Kurapika, Leorio, Hisoka"
Attack on Titan,"Animation, Action, Adventure",8.8,2013-2020,24,4,69,"After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction. ","Eren Jaeger, Mikasa Ackermann, Eren Jaeger, Cart Titan, Marlene, Marcel"
One Punch Man,"Animation, Action, Comedy, Fantasy, Sci-Fi",8.8,2015-2020,24,2,24,"In a world of superhuman beings, Saitama is a unique hero, he can defeat enemies with a single punch. But being just one hero in a world filled with them, his life is empty and hollow: he gets no respect from anyone, he displays a laidback attitude to everything and for the most part, he finds his overall hero life pointless... and worst of all, he lost his hair due to intense training. These are the adventures of an ordinary yet extraordinary hero.","Saitama, Genos, Garo, Sitch"
One Piece,"Animation, Action, Adventure, Comedy, Fantasy",8.7,1999-2020,24,1,948,"There once lived a pirate named Gol D. Roger. He obtained wealth, fame, and power to earn the title of Pirate King. When he was captured and about to be executed, he revealed that his treasure called One Piece was hidden somewhere at the Grand Line. This made all people set out to search and uncover the One Piece treasure, but no one ever found the location of Gol D. Roger's treasure, and the Grand Line was too dangerous a place to overcome. Twenty-two years after Gol D. Roger's death, a boy named Monkey D. Luffy decided to become a pirate and search for Gol D. Roger's treasure to become the next Pirate King.","Monkey D. Luffy, Roronoa Zoro, Nami, Usopp, Sanji"
Naruto,"Animation, Action, Adventure, Comedy, Drama, Fantasy",8.6,2002-2017,24,2,722,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Naruto Uzumaki, Kakashi Hatake, Sasuke Uchiha, Hinata Hyuga, Sakura Haruno"
My Hero Academia,"Animation, Action, Adventure",8.5,2016-2020,24,4,92,"In a world populated with superhumans, the superhero-loving Izuku Midoriya is without power. However, after the Quirkless dreamer Izuku inherits the powers of the world's best superhero, All Might, his hopes of becoming the top hero are now possible. Once enrolled in the high school for heroes, U.A., Izuku soon discovers being a hero is much more complicated than it appears ","Izuku Midoriya, Katsuki Bakugou, Ochako Uraraka, Tenya Iida, Eijirou Kirishima"
The Seven Deadly Sins,"Animation, Action, Adventure, Comedy, Fantasy",8.1,2014-2020,24,4,76,"The Seven Deadly Sins were once an active group of knights in the region of Britannia, who disbanded after they supposedly plotted to overthrow the Liones Kingdom. Their supposed defeat came at the hands of the Holy Knights, but rumors continued to persist that they were still alive. Ten years later, the Holy Knights staged a coup d'état and captured the king, becoming the new, tyrannical rulers of the kingdom. The third princess, Elizabeth, then starts out on a journey to find the Seven Deadly Sins and enlist their help in taking back the kingdom.","Meliodas, Elizabeth, Ban, Gowther, Gilthunder"
Bleach,"Animation, Action, Adventure, Fantasy, Thriller",8.1,2004-2012,24,16,368,"High school student Kurosaki Ichigo is unlike any ordinary kid. Why? Because he can see ghosts. Ever since a young age, he's been able to see spirits from the afterlife. Ichigo's life completely changes one day when he and his two sisters are attacked by an evil, hungry and tormented spirit known as a Hollow. Right in the nick of time, Ichigo and his siblings are aided by a Shinigami (Death God) named Kuchiki Rukia, whose responsibility it is to send good spirits (Pluses) to the afterlife known as Soul Society, and to purify Hollows and send them up to Soul Society. But during the fight against the Hollow, Rukia is injured and must transfer her powers to Ichigo. With this newly acquired power, so begins Kurosaki Ichigo's training and duty as a Shinigami to maintain the balance between the world of the living and the world of the dead...","Ichigo Kurosaki, Rukia Kuchiki, Mizuho Asano, Maki Ichinose, Ryuken Ishida"
Fairy Tail,"Animation, Action, Adventure, Comedy, Fantasy",8,2009-2019,24,8,339,"Lucy, a 17 year old girl, sets out on journey to become a full-fledged wizard and joins the strongest and most (in) famous guild FAIRY TAIL where she meets Natsu, Happy, Gray and Erza, who treat her more like family than friends. This epic series takes us through all the dangers that the members of fairy tail face and eventually overcome through mutual love and friendship. ","Lucy Heartfilia, Natsu Dragneel, Happy, Gray Fullbuster, Gajeel"
